Code,Name,Population,SEIFA score,"Percentage of population in decile 1  (0 - 10% of values)
(most disadvantaged)","Percentage of population in decile 2  (10 - 20% of values)
(most disadvantaged)","Percentage of population in decile 3  (20 - 30% of values)
(most disadvantaged)","Percentage of population in decile 4  (30 - 40% of values)
(most disadvantaged)","Percentage of population in decile 5  (40 - 50% of values)
(most disadvantaged)","Percentage of population in decile 6  (50 - 60% of values)
(most disadvantaged)","Percentage of population in decile 7  (60 - 70% of values)
(most disadvantaged)","Percentage of population in decile 8  (70 - 80% of values)
(most disadvantaged)","Percentage of population in decile 9  (80 - 90% of values)
(most disadvantaged)","Percentage of population in decile 10  (90 - 100% of values)
(most disadvantaged)",Overall decile position
315011395,Aurukun,1269.00,504.36,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
311021306,Beenleigh,8252.00,860.19,39.0%,36.0%,13.8%,5.3%,2.7%,3.2%,0.0%,0.0%,0.0%,0.0%,1
308031205,Berserker,6875.00,877.35,43.9%,44.9%,11.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
319011495,Bundaberg,6116.00,816.49,69.8%,30.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
319051522,Burrum - Fraser,9572.00,893.08,40.6%,30.3%,17.3%,11.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
313021365,Caboolture,26827.00,892.68,33.0%,25.6%,6.7%,14.0%,11.1%,6.2%,3.5%,0.0%,0.0%,0.0%,1
313021366,Caboolture - South,20349.00,888.86,30.8%,50.7%,6.4%,8.6%,3.5%,0.0%,0.0%,0.0%,0.0%,0.0%,1
315011396,Cape York,7513.00,782.87,56.7%,20.2%,9.9%,8.9%,2.2%,0.0%,0.0%,2.1%,0.0%,0.0%,1
315021404,Carpentaria,4828.00,716.75,77.7%,6.2%,10.9%,5.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
319031511,Cooloola,6263.00,880.37,53.3%,29.1%,14.4%,3.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
311031314,Crestmead,11989.00,896.60,20.9%,53.4%,25.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
313041373,Deception Bay,22446.00,901.39,48.1%,21.0%,6.8%,6.9%,0.0%,8.2%,5.8%,1.5%,1.7%,0.0%,1
311021307,Eagleby,13326.00,857.85,57.1%,33.6%,9.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
318021475,Garbutt - West End,6533.00,901.52,24.2%,27.4%,16.5%,11.3%,14.8%,5.8%,0.0%,0.0%,0.0%,0.0%,1
317011448,Gatton,7434.00,897.22,45.4%,15.1%,18.0%,5.3%,10.9%,0.0%,5.4%,0.0%,0.0%,0.0%,1
319021504,Gin Gin,5117.00,862.38,52.7%,34.4%,12.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
310041300,Goodna,10884.00,858.64,45.4%,33.2%,21.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
319051523,Granville,3211.00,870.29,55.4%,25.2%,0.0%,0.0%,15.3%,0.0%,4.1%,0.0%,0.0%,0.0%,1
319031512,Gympie - North,14220.00,881.06,54.4%,14.3%,14.8%,9.6%,3.7%,3.2%,0.0%,0.0%,0.0%,0.0%,1
318021477,Heatley,4038.00,895.19,35.5%,32.8%,20.5%,11.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
306051167,Herberton,5638.00,865.75,54.3%,34.2%,11.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
310011274,Inala - Richlands,18010.00,754.24,80.5%,10.0%,9.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
306031159,Innisfail,9377.00,879.14,47.1%,21.4%,19.7%,5.3%,3.4%,3.2%,0.0%,0.0%,0.0%,0.0%,1
319021506,Kingaroy Region - North,9566.00,835.37,41.8%,24.8%,13.9%,12.5%,7.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
311061330,Kingston (Qld.),10413.00,810.48,88.1%,11.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
315011398,Kowanyama - Pormpuraaw,1700.00,612.07,97.2%,2.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
310031291,Leichhardt - One Mile,7654.00,843.87,67.7%,11.5%,15.0%,0.0%,2.3%,0.0%,3.4%,0.0%,0.0%,0.0%,1
311061331,Logan Central,6133.00,731.43,93.2%,6.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
311051326,Loganlea,10434.00,900.06,40.1%,12.7%,16.9%,10.3%,4.2%,15.7%,0.0%,0.0%,0.0%,0.0%,1
312021346,Mackay,3659.00,874.00,63.4%,26.6%,0.0%,0.0%,0.0%,10.1%,0.0%,0.0%,0.0%,0.0%,1
306021151,Manoora,6027.00,794.83,68.2%,21.9%,9.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
306021152,Manunda,5390.00,828.68,64.5%,24.3%,0.0%,4.5%,6.7%,0.0%,0.0%,0.0%,0.0%,0.0%,1
311031317,Marsden,14447.00,879.34,27.3%,63.8%,6.6%,2.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
319051524,Maryborough (Qld),18238.00,866.12,57.5%,22.9%,6.0%,3.3%,5.4%,0.0%,1.4%,3.5%,0.0%,0.0%,1
319051525,Maryborough Region - South,8395.00,898.72,29.0%,30.2%,15.2%,10.0%,5.6%,10.0%,0.0%,0.0%,0.0%,0.0%,1
308031212,Mount Morgan,2941.00,784.34,93.0%,0.0%,7.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
319021509,Nanango,9678.00,860.60,55.7%,31.6%,7.0%,3.3%,2.4%,0.0%,0.0%,0.0%,0.0%,0.0%,1
315011399,Northern Peninsula,2796.00,694.21,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
318011466,Palm Island,2446.00,561.95,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
301021527,Redland Islands,9016.00,850.58,59.0%,23.6%,9.5%,0.0%,7.9%,0.0%,0.0%,0.0%,0.0%,0.0%,1
310031295,Riverview,3073.00,780.38,76.6%,23.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
308031217,Rockhampton City,3262.00,827.99,76.4%,20.1%,0.0%,3.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
303051076,Rocklea - Acacia Ridge,9561.00,886.70,38.4%,23.3%,25.8%,12.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
311061333,Slacks Creek,10432.00,882.79,45.4%,32.6%,10.3%,3.3%,8.3%,0.0%,0.0%,0.0%,0.0%,0.0%,1
319011501,Svensson Heights - Norville,5611.00,884.59,52.9%,22.0%,19.1%,4.2%,0.0%,0.0%,0.0%,0.0%,1.9%,0.0%,1
307011178,Tara,4221.00,859.25,58.3%,14.0%,8.8%,0.0%,6.5%,0.0%,5.1%,7.3%,0.0%,0.0%,1
319041520,Torquay - Scarness - Kawungan,14999.00,893.64,37.7%,35.9%,12.1%,2.8%,6.3%,3.5%,1.7%,0.0%,0.0%,0.0%,1
315011401,Torres,3610.00,900.91,41.7%,3.0%,39.4%,6.1%,9.9%,0.0%,0.0%,0.0%,0.0%,0.0%,1
315011402,Torres Strait Islands,4514.00,672.46,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
310011276,Wacol,5816.00,763.09,74.1%,8.9%,13.9%,0.0%,3.1%,0.0%,0.0%,0.0%,0.0%,0.0%,1
319011502,Walkervale - Avenell Heights,10696.00,887.27,37.7%,32.4%,17.0%,5.0%,3.1%,0.0%,4.8%,0.0%,0.0%,0.0%,1
311051328,Waterford West,7244.00,895.54,36.0%,22.6%,9.7%,31.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
306021154,Westcourt - Bungalow,6333.00,853.81,66.5%,11.3%,7.9%,0.0%,0.0%,0.0%,14.3%,0.0%,0.0%,0.0%,1
311061336,Woodridge,12579.00,766.44,93.1%,6.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
306021157,Woree,4821.00,867.63,59.4%,21.3%,0.0%,5.1%,14.1%,0.0%,0.0%,0.0%,0.0%,0.0%,1
306031163,Yarrabah,2559.00,518.02,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
308051530,Agnes Water - Miriam Vale,6022.00,922.37,30.4%,14.6%,21.7%,24.9%,7.3%,0.0%,0.0%,0.0%,1.1%,0.0%,2
311011305,Beaudesert,13915.00,924.31,31.0%,24.0%,6.3%,7.2%,19.6%,6.8%,5.1%,0.0%,0.0%,0.0%,2
312011337,Bowen,9105.00,915.68,18.6%,28.2%,43.2%,2.8%,7.3%,0.0%,0.0%,0.0%,0.0%,0.0%,2
311031312,Browns Plains,7368.00,930.84,25.3%,0.0%,52.0%,6.8%,0.0%,9.4%,6.4%,0.0%,0.0%,0.0%,2
319011497,Bundaberg North - Gooburrum,7221.00,915.91,36.2%,30.5%,2.9%,4.3%,13.4%,0.0%,4.4%,2.9%,5.5%,0.0%,2
319011499,Bundaberg Region - South,9835.00,929.48,18.0%,23.9%,29.5%,19.3%,9.2%,0.0%,0.0%,0.0%,0.0%,0.0%,2
310031284,Bundamba,8917.00,919.58,21.6%,26.6%,18.5%,29.7%,3.6%,0.0%,0.0%,0.0%,0.0%,0.0%,2
316021419,Caloundra - Kings Beach,6699.00,926.32,23.4%,12.6%,33.5%,12.6%,13.1%,4.8%,0.0%,0.0%,0.0%,0.0%,2
308011190,Central Highlands - East,7291.00,923.73,13.2%,23.1%,12.1%,14.4%,8.6%,7.9%,7.6%,8.8%,4.3%,0.0%,2
318011462,Charters Towers,8120.00,908.84,26.7%,33.3%,24.6%,6.1%,3.1%,0.0%,6.2%,0.0%,0.0%,0.0%,2
312011340,Collinsville,3456.00,936.40,17.7%,21.5%,26.4%,8.6%,25.7%,0.0%,0.0%,0.0%,0.0%,0.0%,2
318021471,Condon - Rasmussen,10475.00,929.66,23.7%,19.2%,12.8%,17.9%,20.1%,1.0%,0.0%,0.0%,5.5%,0.0%,2
315011397,Croydon - Etheridge,1091.00,918.73,0.0%,51.0%,49.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2
317011447,Drayton - Harristown,10198.00,924.28,10.7%,28.7%,41.9%,9.2%,6.7%,2.8%,0.0%,0.0%,0.0%,0.0%,2
310011272,Durack,7948.00,922.41,18.2%,30.5%,20.2%,19.5%,0.0%,11.6%,0.0%,0.0%,0.0%,0.0%,2
310021278,Esk,5158.00,922.36,15.2%,33.6%,29.8%,17.4%,3.9%,0.0%,0.0%,0.0%,0.0%,0.0%,2
315031411,Far South West,2802.00,925.34,36.4%,8.8%,9.4%,11.2%,21.5%,0.0%,12.7%,0.0%,0.0%,0.0%,2
319021503,Gayndah - Mundubbera,6658.00,915.31,28.2%,31.2%,13.3%,10.7%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%,2
308051534,Gladstone,6014.00,917.11,32.4%,20.2%,31.7%,6.9%,0.0%,0.0%,0.0%,0.0%,8.8%,0.0%,2
318021476,Gulliver - Currajong - Vincent,7731.00,918.58,23.0%,6.9%,52.6%,4.7%,12.8%,0.0%,0.0%,0.0%,0.0%,0.0%,2
319031513,Gympie - South,6746.00,935.45,26.3%,0.0%,3.9%,35.6%,10.5%,18.7%,4.9%,0.0%,0.0%,0.0%,2
318021479,Hyde Park - Pimlico,4656.00,932.48,22.7%,35.4%,19.1%,0.0%,12.9%,0.0%,0.0%,10.0%,0.0%,0.0%,2
318011464,Ingham,4426.00,923.71,0.0%,71.5%,5.7%,19.2%,3.5%,0.0%,0.0%,0.0%,0.0%,0.0%,2
307011174,Inglewood - Waggamba,4244.00,936.70,33.4%,7.4%,0.0%,32.3%,5.2%,7.4%,4.3%,10.1%,0.0%,0.0%,2
310031286,Ipswich - Central,6558.00,930.95,13.2%,16.8%,32.5%,0.0%,34.4%,3.1%,0.0%,0.0%,0.0%,0.0%,2
310031287,Ipswich - East,17894.00,917.00,20.2%,33.8%,23.7%,14.2%,8.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2
313031370,Kilcoy,5383.00,929.26,21.0%,29.4%,6.2%,23.2%,20.2%,0.0%,0.0%,0.0%,0.0%,0.0%,2
319031515,Kilkivan,3691.00,918.88,33.6%,20.3%,0.0%,30.3%,15.8%,0.0%,0.0%,0.0%,0.0%,0.0%,2
319021505,Kingaroy,10289.00,929.08,36.1%,14.8%,11.3%,14.4%,0.0%,0.0%,8.7%,10.0%,2.1%,2.6%,2
318021481,Kirwan - East,7813.00,915.77,16.2%,29.7%,25.2%,15.8%,13.1%,0.0%,0.0%,0.0%,0.0%,0.0%,2
309031238,Labrador,18261.00,931.37,14.3%,39.3%,20.1%,11.1%,3.9%,6.5%,1.8%,2.9%,0.0%,0.0%,2
308031211,Lakes Creek,4876.00,904.95,24.6%,49.7%,4.3%,15.3%,0.0%,5.2%,0.0%,0.9%,0.0%,0.0%,2
310021280,Lockyer Valley - East,19814.00,933.93,24.3%,14.2%,21.4%,26.0%,10.3%,3.9%,0.0%,0.0%,0.0%,0.0%,2
310021281,Lowood,14052.00,930.73,25.2%,18.3%,7.8%,15.0%,19.4%,14.4%,0.0%,0.0%,0.0%,0.0%,2
306051170,Mareeba,11079.00,918.98,33.6%,6.9%,9.9%,27.5%,4.0%,9.3%,8.8%,0.0%,0.0%,0.0%,2
313051378,Margate - Woody Point,11696.00,933.76,8.4%,33.5%,28.7%,18.0%,7.2%,4.1%,0.0%,0.0%,0.0%,0.0%,2
319011500,Millbank - Avoca,7415.00,933.57,21.8%,19.6%,12.3%,26.4%,15.1%,0.0%,4.3%,0.0%,0.5%,0.0%,2
319021508,Monto - Eidsvold,3827.00,915.99,30.2%,22.8%,16.2%,6.4%,19.4%,0.0%,5.0%,0.0%,0.0%,0.0%,2
313021368,Morayfield - East,8434.00,936.07,13.8%,24.4%,34.1%,21.9%,5.8%,0.0%,0.0%,0.0%,0.0%,0.0%,2
317011453,Newtown (Qld),9596.00,916.83,20.8%,40.7%,31.2%,2.8%,4.5%,0.0%,0.0%,0.0%,0.0%,0.0%,2
310031292,North Ipswich - Tivoli,6394.00,923.09,21.9%,17.8%,33.5%,22.0%,4.9%,0.0%,0.0%,0.0%,0.0%,0.0%,2
312021349,North Mackay,6000.00,927.88,30.7%,11.3%,33.5%,14.3%,0.0%,5.0%,0.0%,0.0%,5.3%,0.0%,2
317011454,North Toowoomba - Harlaxton,5734.00,934.40,28.1%,14.2%,14.5%,16.0%,16.3%,0.0%,10.8%,0.0%,0.0%,0.0%,2
308031214,Park Avenue,5094.00,926.01,15.7%,39.2%,24.2%,20.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2
319041518,Pialba - Eli Waters,13948.00,922.56,24.5%,32.8%,8.6%,11.5%,16.1%,0.0%,3.6%,3.0%,0.0%,0.0%,2
319041519,Point Vernon,5699.00,915.30,16.4%,45.5%,32.3%,5.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2
310041302,Redbank Plains,19299.00,917.82,17.8%,44.6%,19.7%,15.6%,2.3%,0.0%,0.0%,0.0%,0.0%,0.0%,2
313051379,Redcliffe,10164.00,928.74,19.8%,8.8%,40.1%,26.1%,0.0%,2.1%,0.0%,2.9%,0.0%,0.0%,2
312021355,Slade Point,3349.00,932.00,15.6%,32.5%,25.2%,9.0%,10.6%,7.1%,0.0%,0.0%,0.0%,0.0%,2
312021356,South Mackay,6704.00,924.62,26.6%,18.0%,16.2%,16.5%,22.8%,0.0%,0.0%,0.0%,0.0%,0.0%,2
309091540,Southport - North,14697.00,927.60,26.3%,32.0%,23.8%,0.0%,0.0%,10.6%,7.4%,0.0%,0.0%,0.0%,2
307031187,Stanthorpe,5406.00,910.45,38.5%,34.0%,5.0%,0.0%,13.0%,4.2%,5.4%,0.0%,0.0%,0.0%,2
307031189,Warwick,15130.00,921.79,31.5%,10.0%,22.5%,18.6%,7.5%,4.5%,2.3%,1.7%,1.4%,0.0%,2
308051539,West Gladstone,4709.00,931.96,9.5%,39.3%,22.5%,13.9%,14.8%,0.0%,0.0%,0.0%,0.0%,0.0%,2
306021155,White Rock,4730.00,928.21,32.0%,20.5%,22.4%,0.0%,14.1%,10.9%,0.0%,0.0%,0.0%,0.0%,2
317011459,Wilsonton,13310.00,913.28,21.1%,41.8%,18.2%,5.6%,9.3%,1.8%,2.2%,0.0%,0.0%,0.0%,2
318021467,Aitkenvale,4790.00,939.64,13.3%,27.9%,17.2%,21.9%,8.9%,7.2%,0.0%,3.6%,0.0%,0.0%,3
319011492,Ashfield - Kepnock,5229.00,938.19,6.8%,47.1%,29.6%,0.0%,0.0%,0.0%,0.0%,0.0%,16.5%,0.0%,3
306051166,Atherton,10708.00,958.08,11.0%,20.5%,22.5%,10.6%,2.3%,16.8%,7.8%,8.4%,0.0%,0.0%,3
318011460,Ayr,9098.00,946.30,14.2%,17.2%,42.3%,6.2%,7.0%,0.0%,3.0%,3.7%,4.3%,2.1%,3
313011362,Beachmere - Sandstone Point,14892.00,955.65,0.0%,31.6%,21.5%,24.2%,9.1%,4.4%,4.0%,5.3%,0.0%,0.0%,3
311051323,Bethania - Waterford,10870.00,947.81,25.8%,12.5%,9.7%,14.7%,9.4%,25.8%,0.0%,2.1%,0.0%,0.0%,3
319041516,Booral - River Heads,4602.00,957.15,18.8%,0.0%,21.9%,44.7%,14.6%,0.0%,0.0%,0.0%,0.0%,0.0%,3
311031311,Boronia Heights - Park Ridge,12237.00,945.12,4.8%,38.1%,34.9%,8.4%,1.6%,2.7%,9.5%,0.0%,0.0%,0.0%,3
310031283,Brassall,10898.00,941.25,23.5%,15.8%,27.2%,8.8%,0.0%,14.1%,0.0%,8.1%,2.5%,0.0%,3
313011363,Bribie Island,18142.00,938.79,20.3%,28.8%,13.3%,8.3%,8.9%,6.7%,4.7%,5.8%,1.4%,1.9%,3
319011496,Bundaberg East - Kalkie,5475.00,948.43,20.6%,18.5%,7.8%,5.4%,9.2%,13.4%,25.1%,0.0%,0.0%,0.0%,3
319011498,Bundaberg Region - North,8866.00,940.24,14.7%,21.0%,24.9%,28.7%,5.4%,0.0%,5.2%,0.0%,0.0%,0.0%,3
306021145,Cairns City,11439.00,958.59,8.7%,24.2%,11.2%,27.2%,5.4%,8.6%,8.9%,5.9%,0.0%,0.0%,3
315031409,Charleville,4307.00,943.36,13.1%,30.6%,30.7%,10.4%,0.0%,0.0%,10.3%,4.8%,0.0%,0.0%,3
307011172,Chinchilla,8129.00,964.16,6.1%,31.9%,10.3%,21.0%,13.2%,4.8%,0.0%,12.8%,0.0%,0.0%,3
313051377,Clontarf,8251.00,966.03,0.0%,11.4%,33.0%,28.0%,16.4%,11.2%,0.0%,0.0%,0.0%,0.0%,3
310041299,Collingwood Park - Redbank,8517.00,952.35,20.0%,6.9%,33.0%,17.0%,5.5%,0.0%,17.7%,0.0%,0.0%,0.0%,3
309031237,Coombabah,10388.00,954.76,11.2%,20.5%,25.3%,14.3%,7.3%,11.7%,2.1%,3.3%,4.3%,0.0%,3
318021472,Cranbrook,5908.00,958.55,0.0%,31.7%,20.4%,21.7%,5.5%,7.8%,7.6%,0.0%,0.0%,5.3%,3
307021179,Crows Nest - Rosalie,8560.00,944.20,19.5%,16.8%,12.1%,25.1%,12.1%,4.5%,4.2%,5.7%,0.0%,0.0%,3
306041164,Daintree,6348.00,952.53,8.6%,20.8%,37.7%,0.0%,5.0%,9.0%,12.2%,6.7%,0.0%,0.0%,3
314021388,Dakabin - Kallangur,23932.00,965.66,7.0%,14.9%,14.0%,25.0%,22.0%,7.4%,6.8%,2.9%,0.0%,0.0%,3
317011446,Darling Heights,13740.00,956.20,6.3%,23.5%,38.0%,14.1%,2.4%,5.1%,0.0%,4.1%,6.5%,0.0%,3
310011271,Darra - Sumner,4932.00,955.34,10.4%,31.1%,11.6%,23.2%,11.8%,0.0%,0.0%,11.8%,0.0%,0.0%,3
312021343,East Mackay,3569.00,958.50,31.1%,0.0%,0.0%,0.0%,39.8%,8.1%,0.0%,13.4%,7.6%,0.0%,3
306021147,Edmonton,10753.00,956.03,13.1%,8.8%,34.5%,14.0%,5.0%,11.1%,4.5%,7.7%,0.0%,1.3%,3
308031207,Emu Park,5466.00,939.63,11.2%,32.6%,22.9%,0.0%,27.2%,0.0%,6.1%,0.0%,0.0%,0.0%,3
315031410,Far Central West,2114.00,945.58,12.9%,31.7%,17.0%,12.6%,13.7%,0.0%,12.2%,0.0%,0.0%,0.0%,3
308031210,Gracemere,11665.00,958.76,3.5%,27.8%,15.6%,31.6%,11.5%,4.0%,5.8%,0.0%,0.0%,0.0%,3
319031514,Gympie Region,18564.00,953.90,15.0%,6.9%,27.2%,24.6%,15.6%,6.6%,4.0%,0.0%,0.0%,0.0%,3
318021478,Hermit Park - Rosslea,5149.00,954.74,0.0%,46.0%,20.4%,0.0%,12.4%,19.2%,0.0%,0.0%,0.0%,2.1%,3
306031160,Johnstone,7889.00,965.14,8.1%,16.0%,22.5%,21.6%,12.8%,12.7%,5.9%,0.4%,0.0%,0.0%,3
307021180,Jondaryan,7508.00,948.95,28.4%,15.7%,10.3%,5.4%,3.7%,18.2%,8.8%,4.9%,4.7%,0.0%,3
318021480,Kelso,10630.00,936.88,18.0%,26.8%,27.0%,2.6%,7.1%,0.0%,7.3%,11.3%,0.0%,0.0%,3
314031392,Lawnton,6011.00,964.66,12.6%,15.9%,21.6%,9.0%,13.8%,0.0%,21.1%,0.0%,0.0%,5.9%,3
318021483,Magnetic Island,2335.00,951.19,0.0%,29.0%,21.5%,43.4%,4.6%,0.0%,0.0%,1.5%,0.0%,0.0%,3
307021181,Millmerran,3310.00,938.15,21.9%,19.4%,14.8%,20.8%,14.4%,8.7%,0.0%,0.0%,0.0%,0.0%,3
315021406,Mount Isa Region,3354.00,949.46,22.2%,12.9%,0.0%,0.0%,35.5%,29.4%,0.0%,0.0%,0.0%,0.0%,3
316071548,Nambour,19962.00,951.97,14.1%,20.1%,18.7%,9.1%,4.5%,24.4%,4.7%,1.8%,2.5%,0.0%,3
308031215,Parkhurst - Kawana,6902.00,955.39,20.9%,20.6%,6.3%,18.8%,14.4%,0.0%,8.1%,0.0%,0.0%,10.8%,3
308031216,Rockhampton - West,5935.00,945.66,11.3%,21.4%,25.0%,19.0%,18.1%,0.0%,4.6%,0.0%,0.0%,0.6%,3
313051380,Rothwell - Kippa-Ring,17138.00,941.36,11.4%,26.3%,27.8%,13.9%,9.0%,8.2%,2.2%,1.2%,0.0%,0.0%,3
312021352,Sarina,11616.00,957.53,7.9%,13.8%,21.0%,32.4%,13.4%,6.8%,4.7%,0.0%,0.0%,0.0%,3
307031186,Southern Downs - West,4656.00,955.74,8.4%,28.3%,6.4%,37.4%,0.0%,19.4%,0.0%,0.0%,0.0%,0.0%,3
307031188,Stanthorpe Region,5780.00,954.64,8.1%,8.1%,33.8%,17.2%,32.9%,0.0%,0.0%,0.0%,0.0%,0.0%,3
314031394,Strathpine - Brendale,12270.00,964.37,10.4%,14.7%,10.8%,31.9%,15.0%,10.8%,6.5%,0.0%,0.0%,0.0%,3
315011400,Tablelands,5985.00,940.96,17.6%,12.0%,19.5%,31.1%,12.6%,7.3%,0.0%,0.0%,0.0%,0.0%,3
317011456,Toowoomba - Central,13373.00,958.53,11.0%,17.2%,15.7%,26.4%,16.6%,8.4%,2.4%,2.3%,0.0%,0.0%,3
306031161,Tully,10661.00,943.63,9.8%,30.4%,17.2%,22.1%,15.2%,0.0%,5.4%,0.0%,0.0%,0.0%,3
319041521,Urangan - Wondunna,12612.00,937.36,12.6%,42.5%,18.4%,0.0%,0.0%,6.6%,2.1%,17.9%,0.0%,0.0%,3
318021491,Wulguru - Roseneath,6099.00,942.49,24.0%,16.6%,26.4%,8.4%,13.0%,0.0%,11.6%,0.0%,0.0%,0.0%,3
302041046,Zillmere,8967.00,941.04,19.8%,25.5%,15.2%,8.6%,12.9%,12.9%,5.1%,0.0%,0.0%,0.0%,3
312021342,Andergrove - Beaconsfield,14908.00,981.94,3.2%,7.7%,26.6%,17.1%,16.1%,5.8%,13.9%,8.9%,0.7%,0.0%,4
306031158,Babinda,4239.00,966.78,8.6%,22.6%,0.0%,35.0%,11.7%,16.1%,0.0%,6.0%,0.0%,0.0%,4
307011171,Balonne,4377.00,972.90,13.5%,12.8%,8.7%,26.5%,17.1%,0.0%,15.9%,5.5%,0.0%,0.0%,4
315031408,Barcaldine - Blackall,4771.00,978.70,13.6%,6.8%,19.9%,5.5%,28.1%,6.9%,5.7%,2.7%,10.7%,0.0%,4
319011493,Bargara - Burnett Heads,16593.00,982.90,4.8%,12.0%,21.6%,9.4%,14.8%,22.0%,8.7%,3.2%,3.6%,0.0%,4
316061439,Beerwah,8201.00,980.00,9.6%,14.8%,15.5%,0.0%,19.8%,16.1%,24.2%,0.0%,0.0%,0.0%,4
306021144,Bentley Park,8018.00,979.30,5.7%,19.3%,19.1%,4.4%,21.5%,6.9%,14.0%,4.0%,5.2%,0.0%,4
309031236,Biggera Waters,8534.00,979.85,4.0%,9.5%,5.3%,31.2%,43.9%,0.0%,0.0%,0.0%,6.1%,0.0%,4
310021277,Boonah,11885.00,986.65,3.4%,11.2%,17.2%,7.6%,28.0%,20.5%,12.2%,0.0%,0.0%,0.0%,4
308031206,Bouldercombe,1865.00,967.96,0.0%,0.0%,57.9%,19.2%,22.9%,0.0%,0.0%,0.0%,0.0%,0.0%,4
319011494,Branyan - Kensington,4708.00,984.44,7.1%,10.8%,5.0%,31.4%,5.9%,0.0%,39.7%,0.0%,0.0%,0.0%,4
318011461,Burdekin,7920.00,979.62,0.0%,18.8%,25.6%,16.3%,14.3%,7.6%,4.3%,13.2%,0.0%,0.0%,4
310041297,Camira - Gailes,9238.00,976.37,14.4%,12.4%,0.0%,13.9%,15.0%,24.9%,6.4%,13.1%,0.0%,0.0%,4
302021028,Chermside,9313.00,974.97,10.1%,0.0%,26.6%,27.7%,15.8%,5.8%,8.2%,4.6%,1.1%,0.0%,4
310031285,Churchill - Yamanto,6768.00,989.36,3.9%,16.1%,16.1%,12.2%,0.0%,18.0%,22.3%,11.4%,0.0%,0.0%,4
307031184,Clifton - Greenmount,4899.00,989.12,7.3%,18.1%,10.3%,0.0%,15.7%,18.8%,11.4%,11.3%,7.1%,0.0%,4
309021230,Coolangatta,5948.00,972.56,0.0%,9.4%,15.1%,50.5%,15.0%,10.0%,0.0%,0.0%,0.0%,0.0%,4
303041067,Coopers Plains,5487.00,967.81,7.1%,11.9%,16.3%,17.4%,34.6%,7.1%,5.7%,0.0%,0.0%,0.0%,4
318011463,Dalrymple,3759.00,967.83,5.9%,7.4%,20.6%,46.2%,11.2%,8.6%,0.0%,0.0%,0.0%,0.0%,4
302041043,Deagon,3675.00,980.82,0.0%,18.3%,11.9%,6.2%,23.3%,40.3%,0.0%,0.0%,0.0%,0.0%,4
311021308,Edens Landing - Holmview,7450.00,973.87,0.0%,11.9%,17.6%,42.5%,17.2%,6.0%,4.9%,0.0%,0.0%,0.0%,4
306021148,Gordonvale - Trinity,8664.00,985.09,10.6%,19.4%,13.0%,9.4%,5.9%,3.2%,5.6%,21.0%,7.1%,4.9%,4
